,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,Age
0,0.455,0.365,0.095,0.514,0.2245,0.10099999999999999,0.15,15,13.5
1,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7,5.5
2,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9,7.5
3,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10,8.5
4,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7,5.5
5,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8,6.5
6,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20,18.5
7,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16,14.5
8,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9,7.5
9,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19,17.5
10,0.525,0.38,0.14,0.6065,0.19399999999999998,0.1475,0.21,14,12.5
11,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10,8.5
12,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11,9.5
13,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10,8.5
14,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10,8.5
15,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12,10.5
16,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7,5.5
17,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10,8.5
18,0.365,0.295,0.08,0.2555,0.09699999999999999,0.043,0.1,7,5.5
19,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9,7.5
20,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,11,9.5
21,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10,8.5
22,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12,10.5
23,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9,7.5
24,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10,8.5
25,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11,9.5
26,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11,9.5
27,0.59,0.445,0.14,0.9309999999999999,0.35600000000000004,0.23399999999999999,0.28,12,10.5
28,0.605,0.475,0.18,0.9365,0.39399999999999996,0.21899999999999997,0.295,15,13.5
29,0.575,0.425,0.14,0.8635,0.39299999999999996,0.22699999999999998,0.2,11,9.5
30,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10,8.5
31,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15,13.5
32,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18,16.5
33,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19,17.5
34,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13,11.5
35,0.465,0.355,0.105,0.4795,0.22699999999999998,0.124,0.125,8,6.5
36,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16,14.5
37,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8,6.5
38,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11,9.5
39,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9,7.5
40,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9,7.5
41,0.55,0.425,0.135,0.8515,0.36200000000000004,0.196,0.27,14,12.5
42,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5,3.5
43,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5,3.5
44,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4,2.5
45,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7,5.5
46,0.47,0.37,0.12,0.5795,0.293,0.22699999999999998,0.14,9,7.5
47,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7,5.5
48,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6,4.5
49,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9,7.5
50,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8,6.5
51,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7,5.5
52,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10,8.5
53,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10,8.5
54,0.405,0.31,0.1,0.385,0.17300000000000001,0.0915,0.11,7,5.5
55,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8,6.5
56,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8,6.5
57,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8,6.5
58,0.245,0.19,0.06,0.086,0.042,0.013999999999999999,0.025,4,2.5
